"","season","season_week","week_start_date","total_cases","air_temperature","relative_humidity","specific_humidity","precipitation_amount","total_cases1","total_cases2","total_cases3","total_cases4","total_cases5","air_temperature1","air_temperature2","air_temperature3","air_temperature4","air_temperature5","relative_humidity1","relative_humidity2","relative_humidity3","relative_humidity4","relative_humidity5","specific_humidity1","specific_humidity2","specific_humidity3","specific_humidity4","specific_humidity5","precipitation_amount1","precipitation_amount2","precipitation_amount3","precipitation_amount4","precipitation_amount5"
"11","2000/2001",11,"9/9/2000",1,26.59,70.17,14.9357142857143,2.5,0,0,0,0,0,26.6414285714286,28.0585714285715,25.1828571428572,24.7385714285715,23.8185714285714,68.6585714285714,58.9814285714286,78.1828571428571,76.1314285714286,85.7014285714286,14.4228571428571,13.1714285714286,15.1528571428571,14.4628571428571,15.5314285714286,4.9,1.6,19.13,4.03,15.68
"12","2000/2001",12,"9/16/2000",0,23.8442857142857,78.0842857142857,14.1728571428571,2.8,1,0,0,0,0,26.59,26.6414285714286,28.0585714285715,25.1828571428572,24.7385714285715,70.17,68.6585714285714,58.9814285714286,78.1828571428571,76.1314285714286,14.9357142857143,14.4228571428571,13.1714285714286,15.1528571428571,14.4628571428571,2.5,4.9,1.6,19.13,4.03
"13","2000/2001",13,"9/23/2000",0,26.2128571428572,76.7257142857143,15.7385714285714,15.8,0,1,0,0,0,23.8442857142857,26.59,26.6414285714286,28.0585714285715,25.1828571428572,78.0842857142857,70.17,68.6585714285714,58.9814285714286,78.1828571428571,14.1728571428571,14.9357142857143,14.4228571428571,13.1714285714286,15.1528571428571,2.8,2.5,4.9,1.6,19.13
"14","2000/2001",14,"9/30/2000",0,25.3171428571429,82.0057142857143,16.1857142857143,17.6,0,0,1,0,0,26.2128571428572,23.8442857142857,26.59,26.6414285714286,28.0585714285715,76.7257142857143,78.0842857142857,70.17,68.6585714285714,58.9814285714286,15.7385714285714,14.1728571428571,14.9357142857143,14.4228571428571,13.1714285714286,15.8,2.8,2.5,4.9,1.6
"15","2000/2001",15,"10/7/2000",0,25.6057142857143,78.2928571428571,15.6342857142857,10.2,0,0,0,1,0,25.3171428571429,26.2128571428572,23.8442857142857,26.59,26.6414285714286,82.0057142857143,76.7257142857143,78.0842857142857,70.17,68.6585714285714,16.1857142857143,15.7385714285714,14.1728571428571,14.9357142857143,14.4228571428571,17.6,15.8,2.8,2.5,4.9
"16","2000/2001",16,"10/14/2000",1,25.9614285714286,77.93,16.0371428571429,28.1,0,0,0,0,1,25.6057142857143,25.3171428571429,26.2128571428572,23.8442857142857,26.59,78.2928571428571,82.0057142857143,76.7257142857143,78.0842857142857,70.17,15.6342857142857,16.1857142857143,15.7385714285714,14.1728571428571,14.9357142857143,10.2,17.6,15.8,2.8,2.5
"17","2000/2001",17,"10/21/2000",1,26.69,77.9257142857143,16.8171428571429,15.1,1,0,0,0,0,25.9614285714286,25.6057142857143,25.3171428571429,26.2128571428572,23.8442857142857,77.93,78.2928571428571,82.0057142857143,76.7257142857143,78.0842857142857,16.0371428571429,15.6342857142857,16.1857142857143,15.7385714285714,14.1728571428571,28.1,10.2,17.6,15.8,2.8
"18","2000/2001",18,"10/28/2000",0,26.27,79.1714285714286,16.7271428571429,26.4,1,1,0,0,0,26.69,25.9614285714286,25.6057142857143,25.3171428571429,26.2128571428572,77.9257142857143,77.93,78.2928571428571,82.0057142857143,76.7257142857143,16.8171428571429,16.0371428571429,15.6342857142857,16.1857142857143,15.7385714285714,15.1,28.1,10.2,17.6,15.8
"19","2000/2001",19,"11/4/2000",0,27.9071428571429,71.0957142857143,16.29,3,0,1,1,0,0,26.27,26.69,25.9614285714286,25.6057142857143,25.3171428571429,79.1714285714286,77.9257142857143,77.93,78.2928571428571,82.0057142857143,16.7271428571429,16.8171428571429,16.0371428571429,15.6342857142857,16.1857142857143,26.4,15.1,28.1,10.2,17.6
"20","2000/2001",20,"11/11/2000",0,28.9842857142857,61.8785714285714,14.9942857142857,11.7,0,0,1,1,0,27.9071428571429,26.27,26.69,25.9614285714286,25.6057142857143,71.0957142857143,79.1714285714286,77.9257142857143,77.93,78.2928571428571,16.29,16.7271428571429,16.8171428571429,16.0371428571429,15.6342857142857,3,26.4,15.1,28.1,10.2
"21","2000/2001",21,"11/18/2000",0,26.2414285714286,76.7257142857143,15.8828571428571,8.8,0,0,0,1,1,28.9842857142857,27.9071428571429,26.27,26.69,25.9614285714286,61.8785714285714,71.0957142857143,79.1714285714286,77.9257142857143,77.93,14.9942857142857,16.29,16.7271428571429,16.8171428571429,16.0371428571429,11.7,3,26.4,15.1,28.1
"22","2000/2001",22,"11/25/2000",0,26.8771428571429,72.6314285714286,15.6971428571429,7.5,0,0,0,0,1,26.2414285714286,28.9842857142857,27.9071428571429,26.27,26.69,76.7257142857143,61.8785714285714,71.0957142857143,79.1714285714286,77.9257142857143,15.8828571428571,14.9942857142857,16.29,16.7271428571429,16.8171428571429,8.8,11.7,3,26.4,15.1
"23","2000/2001",23,"12/2/2000",0,26.6185714285714,73.1185714285714,15.3757142857143,42.76,0,0,0,0,0,26.8771428571429,26.2414285714286,28.9842857142857,27.9071428571429,26.27,72.6314285714286,76.7257142857143,61.8785714285714,71.0957142857143,79.1714285714286,15.6971428571429,15.8828571428571,14.9942857142857,16.29,16.7271428571429,7.5,8.8,11.7,3,26.4
"24","2000/2001",24,"12/9/2000",0,26,75.22,15.2642857142857,11.7,0,0,0,0,0,26.6185714285714,26.8771428571429,26.2414285714286,28.9842857142857,27.9071428571429,73.1185714285714,72.6314285714286,76.7257142857143,61.8785714285714,71.0957142857143,15.3757142857143,15.6971428571429,15.8828571428571,14.9942857142857,16.29,42.76,7.5,8.8,11.7,3
"25","2000/2001",25,"12/16/2000",1,26.4771428571429,65.19,13.55,12.1,0,0,0,0,0,26,26.6185714285714,26.8771428571429,26.2414285714286,28.9842857142857,75.22,73.1185714285714,72.6314285714286,76.7257142857143,61.8785714285714,15.2642857142857,15.3757142857143,15.6971428571429,15.8828571428571,14.9942857142857,11.7,42.76,7.5,8.8,11.7
"26","2000/2001",26,"12/23/2000",0,25.2985714285714,81.2157142857143,16.0357142857143,92.32,1,0,0,0,0,26.4771428571429,26,26.6185714285714,26.8771428571429,26.2414285714286,65.19,75.22,73.1185714285714,72.6314285714286,76.7257142857143,13.55,15.2642857142857,15.3757142857143,15.6971428571429,15.8828571428571,12.1,11.7,42.76,7.5,8.8
"27","2000/2001",27,"1/1/2001",0,25.2771428571429,81.9542857142857,16.0071428571429,26.48,0,1,0,0,0,25.2985714285714,26.4771428571429,26,26.6185714285714,26.8771428571429,81.2157142857143,65.19,75.22,73.1185714285714,72.6314285714286,16.0357142857143,13.55,15.2642857142857,15.3757142857143,15.6971428571429,92.32,12.1,11.7,42.76,7.5
"28","2000/2001",28,"1/8/2001",0,25.1028571428572,82.9671428571429,16.2257142857143,23.92,0,0,1,0,0,25.2771428571429,25.2985714285714,26.4771428571429,26,26.6185714285714,81.9542857142857,81.2157142857143,65.19,75.22,73.1185714285714,16.0071428571429,16.0357142857143,13.55,15.2642857142857,15.3757142857143,26.48,92.32,12.1,11.7,42.76
"29","2000/2001",29,"1/15/2001",0,23.1842857142857,93.4728571428571,16.5928571428571,94.43,0,0,0,1,0,25.1028571428572,25.2771428571429,25.2985714285714,26.4771428571429,26,82.9671428571429,81.9542857142857,81.2157142857143,65.19,75.22,16.2257142857143,16.0071428571429,16.0357142857143,13.55,15.2642857142857,23.92,26.48,92.32,12.1,11.7
"30","2000/2001",30,"1/22/2001",0,22.26,94.1685714285714,15.74,73.65,0,0,0,0,1,23.1842857142857,25.1028571428572,25.2771428571429,25.2985714285714,26.4771428571429,93.4728571428571,82.9671428571429,81.9542857142857,81.2157142857143,65.19,16.5928571428571,16.2257142857143,16.0071428571429,16.0357142857143,13.55,94.43,23.92,26.48,92.32,12.1
"31","2000/2001",31,"1/29/2001",0,22.6585714285714,89.4585714285714,15.2785714285714,20.4,0,0,0,0,0,22.26,23.1842857142857,25.1028571428572,25.2771428571429,25.2985714285714,94.1685714285714,93.4728571428571,82.9671428571429,81.9542857142857,81.2157142857143,15.74,16.5928571428571,16.2257142857143,16.0071428571429,16.0357142857143,73.65,94.43,23.92,26.48,92.32
"32","2000/2001",32,"2/5/2001",0,21.9414285714286,93.8242857142857,15.4871428571429,33.66,0,0,0,0,0,22.6585714285714,22.26,23.1842857142857,25.1028571428572,25.2771428571429,89.4585714285714,94.1685714285714,93.4728571428571,82.9671428571429,81.9542857142857,15.2785714285714,15.74,16.5928571428571,16.2257142857143,16.0071428571429,20.4,73.65,94.43,23.92,26.48
"33","2000/2001",33,"2/12/2001",0,22.2871428571429,94.45,15.8871428571429,38.58,0,0,0,0,0,21.9414285714286,22.6585714285714,22.26,23.1842857142857,25.1028571428572,93.8242857142857,89.4585714285714,94.1685714285714,93.4728571428571,82.9671428571429,15.4871428571429,15.2785714285714,15.74,16.5928571428571,16.2257142857143,33.66,20.4,73.65,94.43,23.92
"34","2000/2001",34,"2/19/2001",0,24,92.5871428571429,17.3014285714286,23.56,0,0,0,0,0,22.2871428571429,21.9414285714286,22.6585714285714,22.26,23.1842857142857,94.45,93.8242857142857,89.4585714285714,94.1685714285714,93.4728571428571,15.8871428571429,15.4871428571429,15.2785714285714,15.74,16.5928571428571,38.58,33.66,20.4,73.65,94.43
"35","2000/2001",35,"2/26/2001",0,24.32,93.8085714285714,17.8514285714286,51.99,0,0,0,0,0,24,22.2871428571429,21.9414285714286,22.6585714285714,22.26,92.5871428571429,94.45,93.8242857142857,89.4585714285714,94.1685714285714,17.3014285714286,15.8871428571429,15.4871428571429,15.2785714285714,15.74,23.56,38.58,33.66,20.4,73.65
"36","2000/2001",36,"3/5/2001",0,23.4871428571429,97.08,17.59,237.1,0,0,0,0,0,24.32,24,22.2871428571429,21.9414285714286,22.6585714285714,93.8085714285714,92.5871428571429,94.45,93.8242857142857,89.4585714285714,17.8514285714286,17.3014285714286,15.8871428571429,15.4871428571429,15.2785714285714,51.99,23.56,38.58,33.66,20.4
"37","2000/2001",37,"3/12/2001",0,25.3642857142857,81.3185714285714,16.1957142857143,18.6,0,0,0,0,0,23.4871428571429,24.32,24,22.2871428571429,21.9414285714286,97.08,93.8085714285714,92.5871428571429,94.45,93.8242857142857,17.59,17.8514285714286,17.3014285714286,15.8871428571429,15.4871428571429,237.1,51.99,23.56,38.58,33.66
"38","2000/2001",38,"3/19/2001",0,24.1828571428572,95.0014285714286,17.9728571428571,192.42,0,0,0,0,0,25.3642857142857,23.4871428571429,24.32,24,22.2871428571429,81.3185714285714,97.08,93.8085714285714,92.5871428571429,94.45,16.1957142857143,17.59,17.8514285714286,17.3014285714286,15.8871428571429,18.6,237.1,51.99,23.56,38.58
"39","2000/2001",39,"3/26/2001",0,23.2242857142857,96.2214285714286,17.1642857142857,211.53,0,0,0,0,0,24.1828571428572,25.3642857142857,23.4871428571429,24.32,24,95.0014285714286,81.3185714285714,97.08,93.8085714285714,92.5871428571429,17.9728571428571,16.1957142857143,17.59,17.8514285714286,17.3014285714286,192.42,18.6,237.1,51.99,23.56
"40","2000/2001",40,"4/2/2001",0,23.9885714285714,93.95,17.5371428571429,74,0,0,0,0,0,23.2242857142857,24.1828571428572,25.3642857142857,23.4871428571429,24.32,96.2214285714286,95.0014285714286,81.3185714285714,97.08,93.8085714285714,17.1642857142857,17.9728571428571,16.1957142857143,17.59,17.8514285714286,211.53,192.42,18.6,237.1,51.99
"41","2000/2001",41,"4/9/2001",0,23.6671428571429,97.13,17.8371428571429,157.6,0,0,0,0,0,23.9885714285714,23.2242857142857,24.1828571428572,25.3642857142857,23.4871428571429,93.95,96.2214285714286,95.0014285714286,81.3185714285714,97.08,17.5371428571429,17.1642857142857,17.9728571428571,16.1957142857143,17.59,74,211.53,192.42,18.6,237.1
"42","2000/2001",42,"4/16/2001",1,24.3342857142857,90.3428571428571,16.9285714285714,77.82,0,0,0,0,0,23.6671428571429,23.9885714285714,23.2242857142857,24.1828571428572,25.3642857142857,97.13,93.95,96.2214285714286,95.0014285714286,81.3185714285714,17.8371428571429,17.5371428571429,17.1642857142857,17.9728571428571,16.1957142857143,157.6,74,211.53,192.42,18.6
"43","2000/2001",43,"4/23/2001",0,24.5885714285715,88.02,16.8171428571429,20.77,1,0,0,0,0,24.3342857142857,23.6671428571429,23.9885714285714,23.2242857142857,24.1828571428572,90.3428571428571,97.13,93.95,96.2214285714286,95.0014285714286,16.9285714285714,17.8371428571429,17.5371428571429,17.1642857142857,17.9728571428571,77.82,157.6,74,211.53,192.42
"44","2000/2001",44,"4/30/2001",0,24.22,96.9185714285714,18.3971428571429,168.2,0,1,0,0,0,24.5885714285715,24.3342857142857,23.6671428571429,23.9885714285714,23.2242857142857,88.02,90.3428571428571,97.13,93.95,96.2214285714286,16.8171428571429,16.9285714285714,17.8371428571429,17.5371428571429,17.1642857142857,20.77,77.82,157.6,74,211.53
"45","2000/2001",45,"5/7/2001",0,24.1371428571429,96.7114285714286,18.3014285714286,72.4,0,0,1,0,0,24.22,24.5885714285715,24.3342857142857,23.6671428571429,23.9885714285714,96.9185714285714,88.02,90.3428571428571,97.13,93.95,18.3971428571429,16.8171428571429,16.9285714285714,17.8371428571429,17.5371428571429,168.2,20.77,77.82,157.6,74
"46","2000/2001",46,"5/14/2001",0,23.8814285714286,94.68,17.4728571428571,48.7,0,0,0,1,0,24.1371428571429,24.22,24.5885714285715,24.3342857142857,23.6671428571429,96.7114285714286,96.9185714285714,88.02,90.3428571428571,97.13,18.3014285714286,18.3971428571429,16.8171428571429,16.9285714285714,17.8371428571429,72.4,168.2,20.77,77.82,157.6
"47","2000/2001",47,"5/21/2001",1,23.5071428571429,92.7414285714286,16.7385714285714,29.7,0,0,0,0,1,23.8814285714286,24.1371428571429,24.22,24.5885714285715,24.3342857142857,94.68,96.7114285714286,96.9185714285714,88.02,90.3428571428571,17.4728571428571,18.3014285714286,18.3971428571429,16.8171428571429,16.9285714285714,48.7,72.4,168.2,20.77,77.82
"48","2000/2001",48,"5/28/2001",1,23.9714285714286,90.0157142857143,16.4828571428571,22.24,1,0,0,0,0,23.5071428571429,23.8814285714286,24.1371428571429,24.22,24.5885714285715,92.7414285714286,94.68,96.7114285714286,96.9185714285714,88.02,16.7385714285714,17.4728571428571,18.3014285714286,18.3971428571429,16.8171428571429,29.7,48.7,72.4,168.2,20.77
"49","2000/2001",49,"6/4/2001",0,22.4971428571429,93.31,15.8914285714286,36.99,1,1,0,0,0,23.9714285714286,23.5071428571429,23.8814285714286,24.1371428571429,24.22,90.0157142857143,92.7414285714286,94.68,96.7114285714286,96.9185714285714,16.4828571428571,16.7385714285714,17.4728571428571,18.3014285714286,18.3971428571429,22.24,29.7,48.7,72.4,168.2
"50","2000/2001",50,"6/11/2001",0,22.7485714285715,89.34,15.2557142857143,83.23,0,1,1,0,0,22.4971428571429,23.9714285714286,23.5071428571429,23.8814285714286,24.1371428571429,93.31,90.0157142857143,92.7414285714286,94.68,96.7114285714286,15.8914285714286,16.4828571428571,16.7385714285714,17.4728571428571,18.3014285714286,36.99,22.24,29.7,48.7,72.4
"51","2000/2001",51,"6/18/2001",1,21.6257142857143,84.3571428571429,13.3385714285714,8.6,0,0,1,1,0,22.7485714285715,22.4971428571429,23.9714285714286,23.5071428571429,23.8814285714286,89.34,93.31,90.0157142857143,92.7414285714286,94.68,15.2557142857143,15.8914285714286,16.4828571428571,16.7385714285714,17.4728571428571,83.23,36.99,22.24,29.7,48.7
"52","2000/2001",52,"6/25/2001",0,22.3857142857143,81.49,13.3328571428571,11.9,1,0,0,1,1,21.6257142857143,22.7485714285715,22.4971428571429,23.9714285714286,23.5071428571429,84.3571428571429,89.34,93.31,90.0157142857143,92.7414285714286,13.3385714285714,15.2557142857143,15.8914285714286,16.4828571428571,16.7385714285714,8.6,83.23,36.99,22.24,29.7
"53","2001/2002",1,"7/2/2001",0,23.0471428571429,85.84,14.9042857142857,25.3,0,1,0,0,1,22.3857142857143,21.6257142857143,22.7485714285715,22.4971428571429,23.9714285714286,81.49,84.3571428571429,89.34,93.31,90.0157142857143,13.3328571428571,13.3385714285714,15.2557142857143,15.8914285714286,16.4828571428571,11.9,8.6,83.23,36.99,22.24
"54","2001/2002",2,"7/9/2001",0,23.5957142857143,87.3428571428571,15.5742857142857,20.7,0,0,1,0,0,23.0471428571429,22.3857142857143,21.6257142857143,22.7485714285715,22.4971428571429,85.84,81.49,84.3571428571429,89.34,93.31,14.9042857142857,13.3328571428571,13.3385714285714,15.2557142857143,15.8914285714286,25.3,11.9,8.6,83.23,36.99
"55","2001/2002",3,"7/16/2001",0,23.9742857142857,89.1571428571429,16.2657142857143,27.03,0,0,0,1,0,23.5957142857143,23.0471428571429,22.3857142857143,21.6257142857143,22.7485714285715,87.3428571428571,85.84,81.49,84.3571428571429,89.34,15.5742857142857,14.9042857142857,13.3328571428571,13.3385714285714,15.2557142857143,20.7,25.3,11.9,8.6,83.23
"56","2001/2002",4,"7/23/2001",0,24.2028571428572,85.4071428571429,15.8414285714286,21.16,0,0,0,0,1,23.9742857142857,23.5957142857143,23.0471428571429,22.3857142857143,21.6257142857143,89.1571428571429,87.3428571428571,85.84,81.49,84.3571428571429,16.2657142857143,15.5742857142857,14.9042857142857,13.3328571428571,13.3385714285714,27.03,20.7,25.3,11.9,8.6
"57","2001/2002",5,"7/30/2001",0,24.6442857142857,71.1728571428571,13.3671428571429,0.41,0,0,0,0,0,24.2028571428572,23.9742857142857,23.5957142857143,23.0471428571429,22.3857142857143,85.4071428571429,89.1571428571429,87.3428571428571,85.84,81.49,15.8414285714286,16.2657142857143,15.5742857142857,14.9042857142857,13.3328571428571,21.16,27.03,20.7,25.3,11.9
"58","2001/2002",6,"8/6/2001",0,25.03,69.6928571428572,13.4171428571429,0,0,0,0,0,0,24.6442857142857,24.2028571428572,23.9742857142857,23.5957142857143,23.0471428571429,71.1728571428571,85.4071428571429,89.1571428571429,87.3428571428571,85.84,13.3671428571429,15.8414285714286,16.2657142857143,15.5742857142857,14.9042857142857,0.41,21.16,27.03,20.7,25.3
"59","2001/2002",7,"8/13/2001",0,25.5257142857143,73.8557142857143,14.8328571428571,4.4,0,0,0,0,0,25.03,24.6442857142857,24.2028571428572,23.9742857142857,23.5957142857143,69.6928571428572,71.1728571428571,85.4071428571429,89.1571428571429,87.3428571428571,13.4171428571429,13.3671428571429,15.8414285714286,16.2657142857143,15.5742857142857,0,0.41,21.16,27.03,20.7
"60","2001/2002",8,"8/20/2001",0,25.5642857142857,76.7971428571429,15.2528571428571,36.9,0,0,0,0,0,25.5257142857143,25.03,24.6442857142857,24.2028571428572,23.9742857142857,73.8557142857143,69.6928571428572,71.1728571428571,85.4071428571429,89.1571428571429,14.8328571428571,13.4171428571429,13.3671428571429,15.8414285714286,16.2657142857143,4.4,0,0.41,21.16,27.03
"61","2001/2002",9,"8/27/2001",0,25.4428571428572,82.7357142857143,16.4571428571429,30,0,0,0,0,0,25.5642857142857,25.5257142857143,25.03,24.6442857142857,24.2028571428572,76.7971428571429,73.8557142857143,69.6928571428572,71.1728571428571,85.4071428571429,15.2528571428571,14.8328571428571,13.4171428571429,13.3671428571429,15.8414285714286,36.9,4.4,0,0.41,21.16
"62","2001/2002",10,"9/3/2001",0,25.6028571428572,77.77,15.5557142857143,26.5,0,0,0,0,0,25.4428571428572,25.5642857142857,25.5257142857143,25.03,24.6442857142857,82.7357142857143,76.7971428571429,73.8557142857143,69.6928571428572,71.1728571428571,16.4571428571429,15.2528571428571,14.8328571428571,13.4171428571429,13.3671428571429,30,36.9,4.4,0,0.41
"63","2001/2002",11,"9/10/2001",0,25.1271428571429,83.6985714285714,16.33,66.84,0,0,0,0,0,25.6028571428572,25.4428571428572,25.5642857142857,25.5257142857143,25.03,77.77,82.7357142857143,76.7971428571429,73.8557142857143,69.6928571428572,15.5557142857143,16.4571428571429,15.2528571428571,14.8328571428571,13.4171428571429,26.5,30,36.9,4.4,0
"64","2001/2002",12,"9/17/2001",0,25.5857142857143,76.44,15.2571428571429,17,0,0,0,0,0,25.1271428571429,25.6028571428572,25.4428571428572,25.5642857142857,25.5257142857143,83.6985714285714,77.77,82.7357142857143,76.7971428571429,73.8557142857143,16.33,15.5557142857143,16.4571428571429,15.2528571428571,14.8328571428571,66.84,26.5,30,36.9,4.4
"65","2001/2002",13,"9/24/2001",0,25.6357142857143,85.1242857142857,17.2342857142857,44.8,0,0,0,0,0,25.5857142857143,25.1271428571429,25.6028571428572,25.4428571428572,25.5642857142857,76.44,83.6985714285714,77.77,82.7357142857143,76.7971428571429,15.2571428571429,16.33,15.5557142857143,16.4571428571429,15.2528571428571,17,66.84,26.5,30,36.9
"66","2001/2002",14,"10/1/2001",0,26.1428571428572,72.51,14.8928571428571,9.8,0,0,0,0,0,25.6357142857143,25.5857142857143,25.1271428571429,25.6028571428572,25.4428571428572,85.1242857142857,76.44,83.6985714285714,77.77,82.7357142857143,17.2342857142857,15.2571428571429,16.33,15.5557142857143,16.4571428571429,44.8,17,66.84,26.5,30
"67","2001/2002",15,"10/8/2001",0,27.7142857142857,67.7471428571429,15.3671428571429,12.6,0,0,0,0,0,26.1428571428572,25.6357142857143,25.5857142857143,25.1271428571429,25.6028571428572,72.51,85.1242857142857,76.44,83.6985714285714,77.77,14.8928571428571,17.2342857142857,15.2571428571429,16.33,15.5557142857143,9.8,44.8,17,66.84,26.5
"68","2001/2002",16,"10/15/2001",0,25.3342857142857,90.4042857142857,18.2471428571429,82.76,0,0,0,0,0,27.7142857142857,26.1428571428572,25.6357142857143,25.5857142857143,25.1271428571429,67.7471428571429,72.51,85.1242857142857,76.44,83.6985714285714,15.3671428571429,14.8928571428571,17.2342857142857,15.2571428571429,16.33,12.6,9.8,44.8,17,66.84
"69","2001/2002",17,"10/22/2001",0,25.2628571428572,88.0142857142857,17.5914285714286,114.7,0,0,0,0,0,25.3342857142857,27.7142857142857,26.1428571428572,25.6357142857143,25.5857142857143,90.4042857142857,67.7471428571429,72.51,85.1242857142857,76.44,18.2471428571429,15.3671428571429,14.8928571428571,17.2342857142857,15.2571428571429,82.76,12.6,9.8,44.8,17
"70","2001/2002",18,"10/29/2001",0,24.97,88.0585714285714,17.1571428571429,150,0,0,0,0,0,25.2628571428572,25.3342857142857,27.7142857142857,26.1428571428572,25.6357142857143,88.0142857142857,90.4042857142857,67.7471428571429,72.51,85.1242857142857,17.5914285714286,18.2471428571429,15.3671428571429,14.8928571428571,17.2342857142857,114.7,82.76,12.6,9.8,44.8
"71","2001/2002",19,"11/5/2001",0,25.8342857142857,86.4457142857143,17.7728571428571,85.1,0,0,0,0,0,24.97,25.2628571428572,25.3342857142857,27.7142857142857,26.1428571428572,88.0585714285714,88.0142857142857,90.4042857142857,67.7471428571429,72.51,17.1571428571429,17.5914285714286,18.2471428571429,15.3671428571429,14.8928571428571,150,114.7,82.76,12.6,9.8
"72","2001/2002",20,"11/12/2001",0,26.2114285714286,86.3671428571429,18.0857142857143,144,0,0,0,0,0,25.8342857142857,24.97,25.2628571428572,25.3342857142857,27.7142857142857,86.4457142857143,88.0585714285714,88.0142857142857,90.4042857142857,67.7471428571429,17.7728571428571,17.1571428571429,17.5914285714286,18.2471428571429,15.3671428571429,85.1,150,114.7,82.76,12.6
"73","2001/2002",21,"11/19/2001",1,24.8071428571429,92.6785714285714,18.0328571428571,45.9,0,0,0,0,0,26.2114285714286,25.8342857142857,24.97,25.2628571428572,25.3342857142857,86.3671428571429,86.4457142857143,88.0585714285714,88.0142857142857,90.4042857142857,18.0857142857143,17.7728571428571,17.1571428571429,17.5914285714286,18.2471428571429,144,85.1,150,114.7,82.76
