"","season","season_week","week_start_date","total_cases","mm","total_cases1","total_cases2","total_cases3","total_cases4","total_cases5","mm1","mm2","mm3","mm4","mm5"
"109","2002/2003",5,"7/30/2002",6,23.44,5,4,7,7,3,71.16,69.24,65.02,2.24,1.03
"110","2002/2003",6,"8/6/2002",7,13.11,6,5,4,7,7,23.44,71.16,69.24,65.02,2.24
"111","2002/2003",7,"8/13/2002",7,19.33,7,6,5,4,7,13.11,23.44,71.16,69.24,65.02
"112","2002/2003",8,"8/20/2002",4,33.6,7,7,6,5,4,19.33,13.11,23.44,71.16,69.24
"113","2002/2003",9,"8/27/2002",9,88.79,4,7,7,6,5,33.6,19.33,13.11,23.44,71.16
"114","2002/2003",10,"9/3/2002",17,19.22,9,4,7,7,6,88.79,33.6,19.33,13.11,23.44
"115","2002/2003",11,"9/10/2002",8,31.06,17,9,4,7,7,19.22,88.79,33.6,19.33,13.11
"116","2002/2003",12,"9/17/2002",22,33.62,8,17,9,4,7,31.06,19.22,88.79,33.6,19.33
"117","2002/2003",13,"9/24/2002",18,63.16,22,8,17,9,4,33.62,31.06,19.22,88.79,33.6
"118","2002/2003",14,"10/1/2002",21,82.38,18,22,8,17,9,63.16,33.62,31.06,19.22,88.79
"119","2002/2003",15,"10/8/2002",16,16.95,21,18,22,8,17,82.38,63.16,33.62,31.06,19.22
"120","2002/2003",16,"10/15/2002",31,38.83,16,21,18,22,8,16.95,82.38,63.16,33.62,31.06
"121","2002/2003",17,"10/22/2002",25,40.01,31,16,21,18,22,38.83,16.95,82.38,63.16,33.62
"122","2002/2003",18,"10/29/2002",28,138.41,25,31,16,21,18,40.01,38.83,16.95,82.38,63.16
"123","2002/2003",19,"11/5/2002",26,91.4,28,25,31,16,21,138.41,40.01,38.83,16.95,82.38
"124","2002/2003",20,"11/12/2002",18,78.81,26,28,25,31,16,91.4,138.41,40.01,38.83,16.95
"125","2002/2003",21,"11/19/2002",27,53.89,18,26,28,25,31,78.81,91.4,138.41,40.01,38.83
"126","2002/2003",22,"11/26/2002",11,43.98,27,18,26,28,25,53.89,78.81,91.4,138.41,40.01
"127","2002/2003",23,"12/3/2002",38,35.32,11,27,18,26,28,43.98,53.89,78.81,91.4,138.41
"128","2002/2003",24,"12/10/2002",29,33.37,38,11,27,18,26,35.32,43.98,53.89,78.81,91.4
"129","2002/2003",25,"12/17/2002",21,91.23,29,38,11,27,18,33.37,35.32,43.98,53.89,78.81
"130","2002/2003",26,"12/24/2002",11,138.66,21,29,38,11,27,91.23,33.37,35.32,43.98,53.89
"131","2002/2003",27,"1/1/2003",10,5.84,11,21,29,38,11,138.66,91.23,33.37,35.32,43.98
"132","2002/2003",28,"1/8/2003",5,56.13,10,11,21,29,38,5.84,138.66,91.23,33.37,35.32
"133","2002/2003",29,"1/15/2003",6,74.07,5,10,11,21,29,56.13,5.84,138.66,91.23,33.37
"134","2002/2003",30,"1/22/2003",2,46.28,6,5,10,11,21,74.07,56.13,5.84,138.66,91.23
"135","2002/2003",31,"1/29/2003",1,42.47,2,6,5,10,11,46.28,74.07,56.13,5.84,138.66
"136","2002/2003",32,"2/5/2003",2,56.95,1,2,6,5,10,42.47,46.28,74.07,56.13,5.84
"137","2002/2003",33,"2/12/2003",2,56.23,2,1,2,6,5,56.95,42.47,46.28,74.07,56.13
"138","2002/2003",34,"2/19/2003",3,82.89,2,2,1,2,6,56.23,56.95,42.47,46.28,74.07
"139","2002/2003",35,"2/26/2003",5,110.37,3,2,2,1,2,82.89,56.23,56.95,42.47,46.28
"140","2002/2003",36,"3/5/2003",1,51.55,5,3,2,2,1,110.37,82.89,56.23,56.95,42.47
"141","2002/2003",37,"3/12/2003",4,66.13,1,5,3,2,2,51.55,110.37,82.89,56.23,56.95
"142","2002/2003",38,"3/19/2003",2,101.25,4,1,5,3,2,66.13,51.55,110.37,82.89,56.23
"143","2002/2003",39,"3/26/2003",4,103.17,2,4,1,5,3,101.25,66.13,51.55,110.37,82.89
"144","2002/2003",40,"4/2/2003",0,75.13,4,2,4,1,5,103.17,101.25,66.13,51.55,110.37
"145","2002/2003",41,"4/9/2003",0,81.96,0,4,2,4,1,75.13,103.17,101.25,66.13,51.55
"146","2002/2003",42,"4/16/2003",0,33.07,0,0,4,2,4,81.96,75.13,103.17,101.25,66.13
"147","2002/2003",43,"4/23/2003",0,88.45,0,0,0,4,2,33.07,81.96,75.13,103.17,101.25
"148","2002/2003",44,"4/30/2003",1,106.03,0,0,0,0,4,88.45,33.07,81.96,75.13,103.17
"149","2002/2003",45,"5/7/2003",1,133.52,1,0,0,0,0,106.03,88.45,33.07,81.96,75.13
"150","2002/2003",46,"5/14/2003",1,24.3,1,1,0,0,0,133.52,106.03,88.45,33.07,81.96
"151","2002/2003",47,"5/21/2003",1,34.03,1,1,1,0,0,24.3,133.52,106.03,88.45,33.07
"152","2002/2003",48,"5/28/2003",1,200.52,1,1,1,1,0,34.03,24.3,133.52,106.03,88.45
"153","2002/2003",49,"6/4/2003",2,86.47,1,1,1,1,1,200.52,34.03,24.3,133.52,106.03
"154","2002/2003",50,"6/11/2003",3,49.82,2,1,1,1,1,86.47,200.52,34.03,24.3,133.52
"155","2002/2003",51,"6/18/2003",4,89.98,3,2,1,1,1,49.82,86.47,200.52,34.03,24.3
"156","2002/2003",52,"6/25/2003",6,50.78,4,3,2,1,1,89.98,49.82,86.47,200.52,34.03
"157","2003/2004",1,"7/2/2003",2,66.12,6,4,3,2,1,50.78,89.98,49.82,86.47,200.52
"158","2003/2004",2,"7/9/2003",2,75.39,2,6,4,3,2,66.12,50.78,89.98,49.82,86.47
"159","2003/2004",3,"7/16/2003",5,7.79,2,2,6,4,3,75.39,66.12,50.78,89.98,49.82
"160","2003/2004",4,"7/23/2003",1,21.36,5,2,2,6,4,7.79,75.39,66.12,50.78,89.98
"161","2003/2004",5,"7/30/2003",1,57.56,1,5,2,2,6,21.36,7.79,75.39,66.12,50.78
"162","2003/2004",6,"8/6/2003",0,81.72,1,1,5,2,2,57.56,21.36,7.79,75.39,66.12
"163","2003/2004",7,"8/13/2003",0,28.57,0,1,1,5,2,81.72,57.56,21.36,7.79,75.39
"164","2003/2004",8,"8/20/2003",0,24.79,0,0,1,1,5,28.57,81.72,57.56,21.36,7.79
"165","2003/2004",9,"8/27/2003",0,36.12,0,0,0,1,1,24.79,28.57,81.72,57.56,21.36
"166","2003/2004",10,"9/3/2003",2,26.5,0,0,0,0,1,36.12,24.79,28.57,81.72,57.56
"167","2003/2004",11,"9/10/2003",0,65.65,2,0,0,0,0,26.5,36.12,24.79,28.57,81.72
"168","2003/2004",12,"9/17/2003",3,70.42,0,2,0,0,0,65.65,26.5,36.12,24.79,28.57
"169","2003/2004",13,"9/24/2003",0,49.9,3,0,2,0,0,70.42,65.65,26.5,36.12,24.79
"170","2003/2004",14,"10/1/2003",0,78.04,0,3,0,2,0,49.9,70.42,65.65,26.5,36.12
"171","2003/2004",15,"10/8/2003",0,45.84,0,0,3,0,2,78.04,49.9,70.42,65.65,26.5
"172","2003/2004",16,"10/15/2003",2,25.06,0,0,0,3,0,45.84,78.04,49.9,70.42,65.65
"173","2003/2004",17,"10/22/2003",2,42.17,2,0,0,0,3,25.06,45.84,78.04,49.9,70.42
"174","2003/2004",18,"10/29/2003",3,49.08,2,2,0,0,0,42.17,25.06,45.84,78.04,49.9
"175","2003/2004",19,"11/5/2003",3,99.62,3,2,2,0,0,49.08,42.17,25.06,45.84,78.04
"176","2003/2004",20,"11/12/2003",3,80.62,3,3,2,2,0,99.62,49.08,42.17,25.06,45.84
"177","2003/2004",21,"11/19/2003",1,118.96,3,3,3,2,2,80.62,99.62,49.08,42.17,25.06
"178","2003/2004",22,"11/26/2003",2,40.67,1,3,3,3,2,118.96,80.62,99.62,49.08,42.17
"179","2003/2004",23,"12/3/2003",3,136.13,2,1,3,3,3,40.67,118.96,80.62,99.62,49.08
"180","2003/2004",24,"12/10/2003",6,66.9,3,2,1,3,3,136.13,40.67,118.96,80.62,99.62
"181","2003/2004",25,"12/17/2003",5,41.39,6,3,2,1,3,66.9,136.13,40.67,118.96,80.62
"182","2003/2004",26,"12/24/2003",1,59.18,5,6,3,2,1,41.39,66.9,136.13,40.67,118.96
"183","2003/2004",27,"1/1/2004",4,78.76,1,5,6,3,2,59.18,41.39,66.9,136.13,40.67
"184","2003/2004",28,"1/8/2004",5,52.2,4,1,5,6,3,78.76,59.18,41.39,66.9,136.13
"185","2003/2004",29,"1/15/2004",8,43.63,5,4,1,5,6,52.2,78.76,59.18,41.39,66.9
"186","2003/2004",30,"1/22/2004",5,9.17,8,5,4,1,5,43.63,52.2,78.76,59.18,41.39
"187","2003/2004",31,"1/29/2004",2,10.14,5,8,5,4,1,9.17,43.63,52.2,78.76,59.18
"188","2003/2004",32,"2/5/2004",3,24.67,2,5,8,5,4,10.14,9.17,43.63,52.2,78.76
"189","2003/2004",33,"2/12/2004",3,6.8,3,2,5,8,5,24.67,10.14,9.17,43.63,52.2
"190","2003/2004",34,"2/19/2004",1,150.16,3,3,2,5,8,6.8,24.67,10.14,9.17,43.63
"191","2003/2004",35,"2/26/2004",6,53.59,1,3,3,2,5,150.16,6.8,24.67,10.14,9.17
"192","2003/2004",36,"3/4/2004",4,76.52,6,1,3,3,2,53.59,150.16,6.8,24.67,10.14
"193","2003/2004",37,"3/11/2004",1,68.59,4,6,1,3,3,76.52,53.59,150.16,6.8,24.67
"194","2003/2004",38,"3/18/2004",2,174.33,1,4,6,1,3,68.59,76.52,53.59,150.16,6.8
"195","2003/2004",39,"3/25/2004",3,78.66,2,1,4,6,1,174.33,68.59,76.52,53.59,150.16
"196","2003/2004",40,"4/1/2004",1,88.88,3,2,1,4,6,78.66,174.33,68.59,76.52,53.59
"197","2003/2004",41,"4/8/2004",8,65.78,1,3,2,1,4,88.88,78.66,174.33,68.59,76.52
"198","2003/2004",42,"4/15/2004",4,73.12,8,1,3,2,1,65.78,88.88,78.66,174.33,68.59
"199","2003/2004",43,"4/22/2004",6,93.84,4,8,1,3,2,73.12,65.78,88.88,78.66,174.33
"200","2003/2004",44,"4/29/2004",7,91.58,6,4,8,1,3,93.84,73.12,65.78,88.88,78.66
"201","2003/2004",45,"5/6/2004",5,41.9,7,6,4,8,1,91.58,93.84,73.12,65.78,88.88
"202","2003/2004",46,"5/13/2004",8,172.45,5,7,6,4,8,41.9,91.58,93.84,73.12,65.78
"203","2003/2004",47,"5/20/2004",6,36.43,8,5,7,6,4,172.45,41.9,91.58,93.84,73.12
"204","2003/2004",48,"5/27/2004",5,83.56,6,8,5,7,6,36.43,172.45,41.9,91.58,93.84
"205","2003/2004",49,"6/3/2004",6,33.21,5,6,8,5,7,83.56,36.43,172.45,41.9,91.58
"206","2003/2004",50,"6/10/2004",6,151.65,6,5,6,8,5,33.21,83.56,36.43,172.45,41.9
"207","2003/2004",51,"6/17/2004",13,32.95,6,6,5,6,8,151.65,33.21,83.56,36.43,172.45
"208","2003/2004",52,"6/24/2004",2,46.39,13,6,6,5,6,32.95,151.65,33.21,83.56,36.43
"209","2004/2005",1,"7/1/2004",10,83.94,2,13,6,6,5,46.39,32.95,151.65,33.21,83.56
"210","2004/2005",2,"7/8/2004",3,48.09,10,2,13,6,6,83.94,46.39,32.95,151.65,33.21
"211","2004/2005",3,"7/15/2004",12,53.78,3,10,2,13,6,48.09,83.94,46.39,32.95,151.65
"212","2004/2005",4,"7/22/2004",7,85.96,12,3,10,2,13,53.78,48.09,83.94,46.39,32.95
"213","2004/2005",5,"7/29/2004",6,29.82,7,12,3,10,2,85.96,53.78,48.09,83.94,46.39
"214","2004/2005",6,"8/5/2004",5,18.44,6,7,12,3,10,29.82,85.96,53.78,48.09,83.94
"215","2004/2005",7,"8/12/2004",6,23.78,5,6,7,12,3,18.44,29.82,85.96,53.78,48.09
"216","2004/2005",8,"8/19/2004",6,42.86,6,5,6,7,12,23.78,18.44,29.82,85.96,53.78
"217","2004/2005",9,"8/26/2004",6,147.32,6,6,5,6,7,42.86,23.78,18.44,29.82,85.96
"218","2004/2005",10,"9/2/2004",8,46.58,6,6,6,5,6,147.32,42.86,23.78,18.44,29.82
"219","2004/2005",11,"9/9/2004",6,36.64,8,6,6,6,5,46.58,147.32,42.86,23.78,18.44
"220","2004/2005",12,"9/16/2004",9,48.68,6,8,6,6,6,36.64,46.58,147.32,42.86,23.78
"221","2004/2005",13,"9/23/2004",12,85.69,9,6,8,6,6,48.68,36.64,46.58,147.32,42.86
"222","2004/2005",14,"9/30/2004",19,52.27,12,9,6,8,6,85.69,48.68,36.64,46.58,147.32
"223","2004/2005",15,"10/7/2004",8,65.25,19,12,9,6,8,52.27,85.69,48.68,36.64,46.58
"224","2004/2005",16,"10/14/2004",16,35.61,8,19,12,9,6,65.25,52.27,85.69,48.68,36.64
"225","2004/2005",17,"10/21/2004",21,74.01,16,8,19,12,9,35.61,65.25,52.27,85.69,48.68
"226","2004/2005",18,"10/28/2004",6,91.63,21,16,8,19,12,74.01,35.61,65.25,52.27,85.69
"227","2004/2005",19,"11/4/2004",22,74.68,6,21,16,8,19,91.63,74.01,35.61,65.25,52.27
"228","2004/2005",20,"11/11/2004",37,74.08,22,6,21,16,8,74.68,91.63,74.01,35.61,65.25
"229","2004/2005",21,"11/18/2004",33,71.98,37,22,6,21,16,74.08,74.68,91.63,74.01,35.61
"230","2004/2005",22,"11/25/2004",18,53.01,33,37,22,6,21,71.98,74.08,74.68,91.63,74.01
"231","2004/2005",23,"12/2/2004",83,70.04,18,33,37,22,6,53.01,71.98,74.08,74.68,91.63
"232","2004/2005",24,"12/9/2004",116,49.56,83,18,33,37,22,70.04,53.01,71.98,74.08,74.68
"233","2004/2005",25,"12/16/2004",32,109.83,116,83,18,33,37,49.56,70.04,53.01,71.98,74.08
"234","2004/2005",26,"12/23/2004",7,65.36,32,116,83,18,33,109.83,49.56,70.04,53.01,71.98
"235","2004/2005",27,"1/1/2005",9,70.6,7,32,116,83,18,65.36,109.83,49.56,70.04,53.01
"236","2004/2005",28,"1/8/2005",10,93.73,9,7,32,116,83,70.6,65.36,109.83,49.56,70.04
"237","2004/2005",29,"1/15/2005",5,60.52,10,9,7,32,116,93.73,70.6,65.36,109.83,49.56
"238","2004/2005",30,"1/22/2005",8,25.67,5,10,9,7,32,60.52,93.73,70.6,65.36,109.83
"239","2004/2005",31,"1/29/2005",7,88.96,8,5,10,9,7,25.67,60.52,93.73,70.6,65.36
"240","2004/2005",32,"2/5/2005",8,52.61,7,8,5,10,9,88.96,25.67,60.52,93.73,70.6
"241","2004/2005",33,"2/12/2005",11,125.35,8,7,8,5,10,52.61,88.96,25.67,60.52,93.73
"242","2004/2005",34,"2/19/2005",6,46.98,11,8,7,8,5,125.35,52.61,88.96,25.67,60.52
"243","2004/2005",35,"2/26/2005",7,54.22,6,11,8,7,8,46.98,125.35,52.61,88.96,25.67
"244","2004/2005",36,"3/5/2005",7,155.54,7,6,11,8,7,54.22,46.98,125.35,52.61,88.96
"245","2004/2005",37,"3/12/2005",14,162.51,7,7,6,11,8,155.54,54.22,46.98,125.35,52.61
"246","2004/2005",38,"3/19/2005",7,99.37,14,7,7,6,11,162.51,155.54,54.22,46.98,125.35
"247","2004/2005",39,"3/26/2005",9,55.12,7,14,7,7,6,99.37,162.51,155.54,54.22,46.98
"248","2004/2005",40,"4/2/2005",13,87.41,9,7,14,7,7,55.12,99.37,162.51,155.54,54.22
"249","2004/2005",41,"4/9/2005",16,40.03,13,9,7,14,7,87.41,55.12,99.37,162.51,155.54
"250","2004/2005",42,"4/16/2005",7,37.6,16,13,9,7,14,40.03,87.41,55.12,99.37,162.51
"251","2004/2005",43,"4/23/2005",9,78.8,7,16,13,9,7,37.6,40.03,87.41,55.12,99.37
