"","X","...1","season","season_week","week_start_date","total_cases","air_temperature","relative_humidity","specific_humidity","precipitation_amount","DTR","total_cases1","total_cases2","total_cases3","total_cases4","total_cases5","air_temperature1","air_temperature2","air_temperature3","air_temperature4","air_temperature5","relative_humidity1","relative_humidity2","relative_humidity3","relative_humidity4","relative_humidity5","specific_humidity1","specific_humidity2","specific_humidity3","specific_humidity4","specific_humidity5","precipitation_amount1","precipitation_amount2","precipitation_amount3","precipitation_amount4","precipitation_amount5","DTR1","DTR2","DTR3","DTR4","DTR5","precipitation_amount6","precipitation_amount7","precipitation_amount8","precipitation_amount9","precipitation_amount10","precipitation_amount11","precipitation_amount12","total_cases6","total_cases7","total_cases8","total_cases9","total_cases10","total_cases11","total_cases12","total_cases13","total_cases14","total_cases15","total_cases16","total_cases17","total_cases18","total_cases19","total_cases20","relative_humidity6","relative_humidity7","relative_humidity8","relative_humidity9","relative_humidity10","relative_humidity11","relative_humidity12","relative_humidity13","relative_humidity14","relative_humidity15","relative_humidity16","relative_humidity17","relative_humidity18","relative_humidity19","relative_humidity20","air_temperature6","air_temperature7","air_temperature8","air_temperature9","air_temperature10","air_temperature11","air_temperature12","air_temperature13","air_temperature14","air_temperature15","air_temperature16","air_temperature17","air_temperature18","air_temperature19","air_temperature20","DTR6","DTR7","DTR8","DTR9","DTR10","DTR11","DTR12","DTR13","DTR14","DTR15","DTR16","DTR17","DTR18","DTR19","DTR20","precipitation_amount13","precipitation_amount14","precipitation_amount15","precipitation_amount16","precipitation_amount17","precipitation_amount18","precipitation_amount19","precipitation_amount20"
"11",11,11,"2000/2001",11,"9/9/2000",1,26.59,70.17,14.9357142857143,2.5,13.1714285714286,0,0,0,0,0,26.6414285714286,28.0585714285715,25.1828571428572,24.7385714285715,23.8185714285714,68.6585714285714,58.9814285714286,78.1828571428571,76.1314285714286,85.7014285714286,14.4228571428571,13.1714285714286,15.1528571428571,14.4628571428571,15.5314285714286,4.9,1.6,19.13,4.03,15.68,13.3285714285714,15.8142857142857,13.4428571428572,13.0857142857143,12.0714285714286,25.4,23.2,10.66,55.27,52,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.7014285714286,84.1742857142857,84.0314285714286,93.7,95.2242857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8185714285714,22.9571428571429,22.9485714285715,22.7057142857143,23.4514285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0714285714286,11.9285714285714,11.2857142857143,6.97142857142857,7.74285714285713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,12,"2000/2001",12,"9/16/2000",0,23.8442857142857,78.0842857142857,14.1728571428571,2.8,12.8714285714286,1,0,0,0,0,26.59,26.6414285714286,28.0585714285715,25.1828571428572,24.7385714285715,70.17,68.6585714285714,58.9814285714286,78.1828571428571,76.1314285714286,14.9357142857143,14.4228571428571,13.1714285714286,15.1528571428571,14.4628571428571,2.5,4.9,1.6,19.13,4.03,13.1714285714286,13.3285714285714,15.8142857142857,13.4428571428572,13.0857142857143,15.68,25.4,23.2,10.66,55.27,52,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.1314285714286,76.14,84.1742857142857,84.0314285714286,93.7,95.2242857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7385714285715,25.1128571428572,22.9571428571429,22.9485714285715,22.7057142857143,23.4514285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0857142857143,12.4428571428571,11.9285714285714,11.2857142857143,6.97142857142857,7.74285714285713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,13,"2000/2001",13,"9/23/2000",0,26.2128571428572,76.7257142857143,15.7385714285714,15.8,12.0857142857143,0,1,0,0,0,23.8442857142857,26.59,26.6414285714286,28.0585714285715,25.1828571428572,78.0842857142857,70.17,68.6585714285714,58.9814285714286,78.1828571428571,14.1728571428571,14.9357142857143,14.4228571428571,13.1714285714286,15.1528571428571,2.8,2.5,4.9,1.6,19.13,12.8714285714286,13.1714285714286,13.3285714285714,15.8142857142857,13.4428571428572,4.03,15.68,25.4,23.2,10.66,55.27,52,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,78.1828571428571,85.7014285714286,76.14,84.1742857142857,84.0314285714286,93.7,95.2242857142857,NA,NA,NA,NA,NA,NA,NA,NA,25.1828571428572,23.8185714285714,25.1128571428572,22.9571428571429,22.9485714285715,22.7057142857143,23.4514285714286,NA,NA,NA,NA,NA,NA,NA,NA,13.4428571428572,12.0714285714286,12.4428571428571,11.9285714285714,11.2857142857143,6.97142857142857,7.74285714285713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,14,"2000/2001",14,"9/30/2000",0,25.3171428571429,82.0057142857143,16.1857142857143,17.6,13.3285714285714,0,0,1,0,0,26.2128571428572,23.8442857142857,26.59,26.6414285714286,28.0585714285715,76.7257142857143,78.0842857142857,70.17,68.6585714285714,58.9814285714286,15.7385714285714,14.1728571428571,14.9357142857143,14.4228571428571,13.1714285714286,15.8,2.8,2.5,4.9,1.6,12.0857142857143,12.8714285714286,13.1714285714286,13.3285714285714,15.8142857142857,19.13,4.03,15.68,25.4,23.2,10.66,55.27,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,58.9814285714286,76.1314285714286,85.7014285714286,76.14,84.1742857142857,84.0314285714286,93.7,95.2242857142857,NA,NA,NA,NA,NA,NA,NA,28.0585714285715,24.7385714285715,23.8185714285714,25.1128571428572,22.9571428571429,22.9485714285715,22.7057142857143,23.4514285714286,NA,NA,NA,NA,NA,NA,NA,15.8142857142857,13.0857142857143,12.0714285714286,12.4428571428571,11.9285714285714,11.2857142857143,6.97142857142857,7.74285714285713,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA
"15",15,15,"2000/2001",15,"10/7/2000",0,25.6057142857143,78.2928571428571,15.6342857142857,10.2,13.9,0,0,0,1,0,25.3171428571429,26.2128571428572,23.8442857142857,26.59,26.6414285714286,82.0057142857143,76.7257142857143,78.0842857142857,70.17,68.6585714285714,16.1857142857143,15.7385714285714,14.1728571428571,14.9357142857143,14.4228571428571,17.6,15.8,2.8,2.5,4.9,13.3285714285714,12.0857142857143,12.8714285714286,13.1714285714286,13.3285714285714,1.6,19.13,4.03,15.68,25.4,23.2,10.66,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,68.6585714285714,78.1828571428571,76.1314285714286,85.7014285714286,76.14,84.1742857142857,84.0314285714286,93.7,95.2242857142857,NA,NA,NA,NA,NA,NA,26.6414285714286,25.1828571428572,24.7385714285715,23.8185714285714,25.1128571428572,22.9571428571429,22.9485714285715,22.7057142857143,23.4514285714286,NA,NA,NA,NA,NA,NA,13.3285714285714,13.4428571428572,13.0857142857143,12.0714285714286,12.4428571428571,11.9285714285714,11.2857142857143,6.97142857142857,7.74285714285713,NA,NA,NA,NA,NA,NA,55.27,52,NA,NA,NA,NA,NA,NA
"16",16,16,"2000/2001",16,"10/14/2000",1,25.9614285714286,77.93,16.0371428571429,28.1,13.8857142857143,0,0,0,0,1,25.6057142857143,25.3171428571429,26.2128571428572,23.8442857142857,26.59,78.2928571428571,82.0057142857143,76.7257142857143,78.0842857142857,70.17,15.6342857142857,16.1857142857143,15.7385714285714,14.1728571428571,14.9357142857143,10.2,17.6,15.8,2.8,2.5,13.9,13.3285714285714,12.0857142857143,12.8714285714286,13.1714285714286,4.9,1.6,19.13,4.03,15.68,25.4,23.2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,70.17,58.9814285714286,78.1828571428571,76.1314285714286,85.7014285714286,76.14,84.1742857142857,84.0314285714286,93.7,95.2242857142857,NA,NA,NA,NA,NA,26.59,28.0585714285715,25.1828571428572,24.7385714285715,23.8185714285714,25.1128571428572,22.9571428571429,22.9485714285715,22.7057142857143,23.4514285714286,NA,NA,NA,NA,NA,13.1714285714286,15.8142857142857,13.4428571428572,13.0857142857143,12.0714285714286,12.4428571428571,11.9285714285714,11.2857142857143,6.97142857142857,7.74285714285713,NA,NA,NA,NA,NA,10.66,55.27,52,NA,NA,NA,NA,NA
"17",17,17,"2000/2001",17,"10/21/2000",1,26.69,77.9257142857143,16.8171428571429,15.1,13.4428571428572,1,0,0,0,0,25.9614285714286,25.6057142857143,25.3171428571429,26.2128571428572,23.8442857142857,77.93,78.2928571428571,82.0057142857143,76.7257142857143,78.0842857142857,16.0371428571429,15.6342857142857,16.1857142857143,15.7385714285714,14.1728571428571,28.1,10.2,17.6,15.8,2.8,13.8857142857143,13.9,13.3285714285714,12.0857142857143,12.8714285714286,2.5,4.9,1.6,19.13,4.03,15.68,25.4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,78.0842857142857,68.6585714285714,58.9814285714286,78.1828571428571,76.1314285714286,85.7014285714286,76.14,84.1742857142857,84.0314285714286,93.7,95.2242857142857,NA,NA,NA,NA,23.8442857142857,26.6414285714286,28.0585714285715,25.1828571428572,24.7385714285715,23.8185714285714,25.1128571428572,22.9571428571429,22.9485714285715,22.7057142857143,23.4514285714286,NA,NA,NA,NA,12.8714285714286,13.3285714285714,15.8142857142857,13.4428571428572,13.0857142857143,12.0714285714286,12.4428571428571,11.9285714285714,11.2857142857143,6.97142857142857,7.74285714285713,NA,NA,NA,NA,23.2,10.66,55.27,52,NA,NA,NA,NA
"18",18,18,"2000/2001",18,"10/28/2000",0,26.27,79.1714285714286,16.7271428571429,26.4,12.9428571428571,1,1,0,0,0,26.69,25.9614285714286,25.6057142857143,25.3171428571429,26.2128571428572,77.9257142857143,77.93,78.2928571428571,82.0057142857143,76.7257142857143,16.8171428571429,16.0371428571429,15.6342857142857,16.1857142857143,15.7385714285714,15.1,28.1,10.2,17.6,15.8,13.4428571428572,13.8857142857143,13.9,13.3285714285714,12.0857142857143,2.8,2.5,4.9,1.6,19.13,4.03,15.68,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,76.7257142857143,70.17,68.6585714285714,58.9814285714286,78.1828571428571,76.1314285714286,85.7014285714286,76.14,84.1742857142857,84.0314285714286,93.7,95.2242857142857,NA,NA,NA,26.2128571428572,26.59,26.6414285714286,28.0585714285715,25.1828571428572,24.7385714285715,23.8185714285714,25.1128571428572,22.9571428571429,22.9485714285715,22.7057142857143,23.4514285714286,NA,NA,NA,12.0857142857143,13.1714285714286,13.3285714285714,15.8142857142857,13.4428571428572,13.0857142857143,12.0714285714286,12.4428571428571,11.9285714285714,11.2857142857143,6.97142857142857,7.74285714285713,NA,NA,NA,25.4,23.2,10.66,55.27,52,NA,NA,NA
"19",19,19,"2000/2001",19,"11/4/2000",0,27.9071428571429,71.0957142857143,16.29,3,13.5428571428571,0,1,1,0,0,26.27,26.69,25.9614285714286,25.6057142857143,25.3171428571429,79.1714285714286,77.9257142857143,77.93,78.2928571428571,82.0057142857143,16.7271428571429,16.8171428571429,16.0371428571429,15.6342857142857,16.1857142857143,26.4,15.1,28.1,10.2,17.6,12.9428571428571,13.4428571428572,13.8857142857143,13.9,13.3285714285714,15.8,2.8,2.5,4.9,1.6,19.13,4.03,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,82.0057142857143,78.0842857142857,70.17,68.6585714285714,58.9814285714286,78.1828571428571,76.1314285714286,85.7014285714286,76.14,84.1742857142857,84.0314285714286,93.7,95.2242857142857,NA,NA,25.3171428571429,23.8442857142857,26.59,26.6414285714286,28.0585714285715,25.1828571428572,24.7385714285715,23.8185714285714,25.1128571428572,22.9571428571429,22.9485714285715,22.7057142857143,23.4514285714286,NA,NA,13.3285714285714,12.8714285714286,13.1714285714286,13.3285714285714,15.8142857142857,13.4428571428572,13.0857142857143,12.0714285714286,12.4428571428571,11.9285714285714,11.2857142857143,6.97142857142857,7.74285714285713,NA,NA,15.68,25.4,23.2,10.66,55.27,52,NA,NA
"20",20,20,"2000/2001",20,"11/11/2000",0,28.9842857142857,61.8785714285714,14.9942857142857,11.7,13.3428571428571,0,0,1,1,0,27.9071428571429,26.27,26.69,25.9614285714286,25.6057142857143,71.0957142857143,79.1714285714286,77.9257142857143,77.93,78.2928571428571,16.29,16.7271428571429,16.8171428571429,16.0371428571429,15.6342857142857,3,26.4,15.1,28.1,10.2,13.5428571428571,12.9428571428571,13.4428571428572,13.8857142857143,13.9,17.6,15.8,2.8,2.5,4.9,1.6,19.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,78.2928571428571,76.7257142857143,78.0842857142857,70.17,68.6585714285714,58.9814285714286,78.1828571428571,76.1314285714286,85.7014285714286,76.14,84.1742857142857,84.0314285714286,93.7,95.2242857142857,NA,25.6057142857143,26.2128571428572,23.8442857142857,26.59,26.6414285714286,28.0585714285715,25.1828571428572,24.7385714285715,23.8185714285714,25.1128571428572,22.9571428571429,22.9485714285715,22.7057142857143,23.4514285714286,NA,13.9,12.0857142857143,12.8714285714286,13.1714285714286,13.3285714285714,15.8142857142857,13.4428571428572,13.0857142857143,12.0714285714286,12.4428571428571,11.9285714285714,11.2857142857143,6.97142857142857,7.74285714285713,NA,4.03,15.68,25.4,23.2,10.66,55.27,52,NA
"21",21,21,"2000/2001",21,"11/18/2000",0,26.2414285714286,76.7257142857143,15.8828571428571,8.8,12.1428571428571,0,0,0,1,1,28.9842857142857,27.9071428571429,26.27,26.69,25.9614285714286,61.8785714285714,71.0957142857143,79.1714285714286,77.9257142857143,77.93,14.9942857142857,16.29,16.7271428571429,16.8171428571429,16.0371428571429,11.7,3,26.4,15.1,28.1,13.3428571428571,13.5428571428571,12.9428571428571,13.4428571428572,13.8857142857143,10.2,17.6,15.8,2.8,2.5,4.9,1.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,77.93,82.0057142857143,76.7257142857143,78.0842857142857,70.17,68.6585714285714,58.9814285714286,78.1828571428571,76.1314285714286,85.7014285714286,76.14,84.1742857142857,84.0314285714286,93.7,95.2242857142857,25.9614285714286,25.3171428571429,26.2128571428572,23.8442857142857,26.59,26.6414285714286,28.0585714285715,25.1828571428572,24.7385714285715,23.8185714285714,25.1128571428572,22.9571428571429,22.9485714285715,22.7057142857143,23.4514285714286,13.8857142857143,13.3285714285714,12.0857142857143,12.8714285714286,13.1714285714286,13.3285714285714,15.8142857142857,13.4428571428572,13.0857142857143,12.0714285714286,12.4428571428571,11.9285714285714,11.2857142857143,6.97142857142857,7.74285714285713,19.13,4.03,15.68,25.4,23.2,10.66,55.27,52
"22",22,22,"2000/2001",22,"11/25/2000",0,26.8771428571429,72.6314285714286,15.6971428571429,7.5,13.9142857142857,0,0,0,0,1,26.2414285714286,28.9842857142857,27.9071428571429,26.27,26.69,76.7257142857143,61.8785714285714,71.0957142857143,79.1714285714286,77.9257142857143,15.8828571428571,14.9942857142857,16.29,16.7271428571429,16.8171428571429,8.8,11.7,3,26.4,15.1,12.1428571428571,13.3428571428571,13.5428571428571,12.9428571428571,13.4428571428572,28.1,10.2,17.6,15.8,2.8,2.5,4.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,77.9257142857143,78.2928571428571,82.0057142857143,76.7257142857143,78.0842857142857,70.17,68.6585714285714,58.9814285714286,78.1828571428571,76.1314285714286,85.7014285714286,76.14,84.1742857142857,84.0314285714286,93.7,26.69,25.6057142857143,25.3171428571429,26.2128571428572,23.8442857142857,26.59,26.6414285714286,28.0585714285715,25.1828571428572,24.7385714285715,23.8185714285714,25.1128571428572,22.9571428571429,22.9485714285715,22.7057142857143,13.4428571428572,13.9,13.3285714285714,12.0857142857143,12.8714285714286,13.1714285714286,13.3285714285714,15.8142857142857,13.4428571428572,13.0857142857143,12.0714285714286,12.4428571428571,11.9285714285714,11.2857142857143,6.97142857142857,1.6,19.13,4.03,15.68,25.4,23.2,10.66,55.27
